variable_group,cmip6plus_key,cmip6_key,long_name,std_name,units,cmip6_table,name,in_cmip_core
esm-diagnostic,APday/hus8,day/hus,Specific Humidity,specific_humidity,1,day,hus,TRUE
esm-diagnostic,LPday/mrro,day/mrro,Total Runoff,runoff_flux,kg m-2 s-1,day,mrro,TRUE
esm-diagnostic,APday/psl,day/psl,Sea Level Pressure,air_pressure_at_mean_sea_level,Pa,day,psl,TRUE
esm-diagnostic,APday/rlut,day/rlut,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,W m-2,day,rlut,TRUE
esm-diagnostic,APday/sfcWindmax,day/sfcWindmax,Daily Maximum Near-Surface Wind Speed,wind_speed,m s-1,day,sfcWindmax,TRUE
esm-diagnostic,LIday/snc,day/snc,Snow Area Percentage,surface_snow_area_fraction,%,day,snc,TRUE
esm-diagnostic,APday/ta8,day/ta,Air Temperature,air_temperature,K,day,ta,TRUE
esm-diagnostic,APday/ua8,day/ua,Eastward Wind,eastward_wind,m s-1,day,ua,TRUE
esm-diagnostic,APday/va8,day/va,Northward Wind,northward_wind,m s-1,day,va,TRUE
esm-diagnostic,APday/wap8,day/wap,Omega (=dp/dt),lagrangian_tendency_of_air_pressure,Pa s-1,day,wap,TRUE
esm-diagnostic,LPmon/cropFracC3,Emon/cropFracC3,Percentage Cover by C3 Crops,area_fraction,%,Emon,cropFracC3,TRUE
esm-diagnostic,LPmon/cropFracC4,Emon/cropFracC4,Percentage Cover by C4 Crops,area_fraction,%,Emon,cropFracC4,TRUE
esm-diagnostic,LPmon/fracLut,Emon/fracLut,Percentage of Grid Cell for Each Land-Use Tile,area_fraction,%,Emon,fracLut,TRUE
esm-diagnostic,LPmon/grassFracC3,Emon/grassFracC3,C3 Natural Grass Area Percentage,area_fraction,%,Emon,grassFracC3,TRUE
esm-diagnostic,LPmon/grassFracC4,Emon/grassFracC4,C4 Natural Grass Area Percentage,area_fraction,%,Emon,grassFracC4,TRUE
esm-diagnostic,LPmon/treeFracBdlDcd,Emon/treeFracBdlDcd,Broadleaf Deciduous Tree Area Percentage,area_fraction,%,Emon,treeFracBdlDcd,TRUE
esm-diagnostic,LPmon/treeFracBdlEvg,Emon/treeFracBdlEvg,Broadleaf Evergreen Tree Area Percentage,area_fraction,%,Emon,treeFracBdlEvg,TRUE
esm-diagnostic,LPmon/treeFracNdlDcd,Emon/treeFracNdlDcd,Needleleaf Deciduous Tree Area Percentage,area_fraction,%,Emon,treeFracNdlDcd,TRUE
esm-diagnostic,LPmon/treeFracNdlEvg,Emon/treeFracNdlEvg,Needleleaf Evergreen Tree Area Percentage,area_fraction,%,Emon,treeFracNdlEvg,TRUE
esm-diagnostic,LPmon/vegFrac,Emon/vegFrac,Total Vegetated Percentage Cover,area_fraction,%,Emon,vegFrac,TRUE
forcing,GIGfx/hfgeoubed,IfxGre/hfgeoubed,Geothermal Heat Flux Beneath Land Ice,upward_geothermal_heat_flux_at_ground_level_in_land_ice,W m-2,IfxGre,hfgeoubed,FALSE
forcing,GIGfx/lithk,IfxGre/lithk,Ice Sheet Thickness,land_ice_thickness,m,IfxGre,lithk,FALSE
forcing,GIGfx/topg,IfxGre/topg,Bedrock Altitude,bedrock_altitude,m,IfxGre,topg,FALSE
forcing,GIGmon/hfls,ImonGre/hfls,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,W m-2,ImonGre,hfls,FALSE
